name;position;address;phone_number;fax_number;email;photo_url
Yang Berhormat Tuan Hahasrin bin Hashim;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Pejabat Khidmat Wakil Rakyat DUN Panti, No. 28, Jalan Anggerik 2/1, Taman Anggerik Tenggara, 81440 Bandar Tenggara, Johor;07-896 2850;07-896 2850;dunpanti.n34@gmail.com / hasrin@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-HAHASRIN-BIN-HASHIM.jpg
Yang Berhormat Puan Rashidah binti Ismail;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 3A, Jalan SS2/6C, Taman Sri Saujana, 81900 Kota Tinggi, Johor;010-7916158 (PA - Puan Salina Othman);;dunpasirrajan35@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-PUAN-RASHIDAH-BINTI-ISMAIL.jpg
Yang Berhormat Datuk Haji Jefridin bin Atan;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 75G, Jalan Emas 3 Pusat Perniagaan Kota Emas 82000 Pontian Johor;018-6624469 (PA - Mohd. Syarizzat bin Ramadan);;mohamadsyarizzat93@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-DATO-JEFRIDIN-BIN-ATAN.jpg
Yang Berhormat Datuk Dr. Haji Mohd Puad bin Zarkashi;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Pejabat Pusat Khidmat Wakil Rakyat DUN Rengit No. 6 & 6A, Jalan Kenanga, Taman Rengit, 83100 Rengit, Batu Pahat, Johor;019-7016001;;adunrengit123@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-SPEAKER-WEB-1.jpg
Yang Berhormat Tuan Anuar bin Abd. Manap;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 1, Jalan Astakajaya 12 Taman Astakajaya 85000 Segamat Johor;012-7880426 / 016-6210426 (PA - Mohd Ridzuan);;dunpemanisofficial@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YN-TUAN-ANUAR-BIN-ABD.-MANAP-WEB.jpg
Yang Berhormat Puan Haslinda binti Salleh;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;NO. 1, Jalan Bakau Taman Damai Jaya 2 85400 Segamat Johor;011-11486970 (PA- Mohd Rassid Jummat);;lindasalleh30@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-PUAN-HASLINDA-BINTI-SALLEH-web.jpg
Yang Berhormat Datuk Haji Mohd Fuad bin Tukirin;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Pos 165, Lot 2109 Jalan Dato' Haji Kosai 84000 Muar Johor;011-60623971 (PA - Samali bin Aziz);;mohdfuadtukirin@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-DATUK-HAJI-MOHD-FUAD-BIN-TUKIRIN-web.jpg
Yang Berhormat Tuan Sahrihan bin Jani;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 139, Jalan Gambir 6 Bandar Baru Bukit Gambir 84800 Bukit Gambir, Tangkak Johor;013-6356526 (PA - Azlan bin Miskun);;pusatkhidmatbndungambir@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-SAHRIHAN-BIN-JANI-web.jpg
Yang Berhormat Tuan Tan Chong;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;67, Jalan Tekukur Taman Mewah 85300 Labis, Segamat Johor;019-7543135;;adunbekoklabis@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-TAN-CHONG-web.jpg
Yang Berhormat Tuan Muszaide bin Makmor;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 1042 Blok 2 FELDA Lok Heng Barat 81900 Kota Tinggi, Johor @ Pusat Komuniti Mawai Baru PTD 467, Batu 12, Kampung Mawai Baru 81900 Kota Tinggi Johor;019-7117699 (PA-Zainuddin Abdullah);;sedilin36@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-MUSZAIDE-BIN-MAKMOR.jpg
Yang Berhormat Puan Saraswati a/p Nallathamby;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;NO. 23, Jalan Delima 2/3 Taman Delima 1 81000 Johor Bahru Johor;012-7047046 (PA - Mohd. Nazirul Ramli);;mohdnazirulramli@yahoo.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-PUAN-SARASWATI-AP-NALLATHAMBY-WEB-1.jpg
Yang Berhormat Tuan Tan Eng Meng;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Lot 343, SH 180 Jalan Besar Pekan Nanas, 81500 Pontian Johor;016-8693200 (PA - Teo Yi Chang);;tycmcatgp@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-TAN-ENG-MENG.jpg
Yang Berhormat Puan Fauziah binti Misri;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;121-01, Jalan Kempas 1 Taman Desaru Utama 81930 Bandar Penawar Johor;07-8224234;;fauziahmisri77@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-PUAN-FAUZIAH-BINTI-MISRI.jpg
Yang Berhormat Puan Hajah Hasrunizah binti Hassan;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Lot 13926, Jalan Semerah Indah Parit Semerah 82000 Pontian Johor;;;hasrunizahhassan.official@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-PUAN-HAJAH-HASRUNIZAH-BINTI-HASSAN.jpg
Yang Berhormat Datuk Mohamad Najib bin Samuri;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Bangunan UMNO Bahagian Sri Gading Jalan Besar 86400 Parit Raja, Batu Pahat Johor;010-2221221;;najibsamuri@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-DATUK-MOHAMAD-NAJIB-BIN-SAMURI.jpg
Yang Berhormat Tuan Haji Selamat bin Takim;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 08, Kampung Parit Mesjid Jalan Yusof 83600 Batu Pahat Johor;017-7000049 (PA - Ujang bin Masri);;umnobhgmuar@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-HAJI-SELAMAT-BIN-TAKIM-web.jpg
Yang Berhormat Tuan Aznan bin Tamin;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;(1st Floor) No. 45, Persiaran Bayu Damai 2/2 Taman Bayu Damai 81620 Pengerang Johor;013-3800647 (PA - Mohd. Syahner Redza Malik);;dun.tgsurat@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-AZNAN-BIN-TAMIN.jpg
Yang Berhormat Tuan Haji Baharudin bin Mohamed Taib;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 99A, Jalan Lembah 18 Bandar Baru Seri Alam 81750 Masai Johor;07-3822095;;;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-HAJI-BAHARUDIN-BIN-MOHAMED-TAIB.jpg
Yang Berhormat Datuk Haji Ramlee bin Bohani;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Pejabat Setiausaha Politik Kepada Menteri Besar Johor Aras 3, Bangunan Dato' Jaafar Muhammad Kota Iskandar 79000 Iskandar Puteri Johor;07-2666165 (PA - Norliza binti Md Ariss);;ramleebohani19@gmail.com / norliza.ma@johor.gov.my;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-DATUK-HAJI-RAMLEE-BIN-BOHANI.jpg
Yang Berhormat Tuan Haji Mohd Yusla bin Ismail;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 28, Jalan Parit Kemang Senggarang 83200 Batu Pahat Johor;;;;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-HAJI-MOHD-YUSLA-BIN-ISMAIL.jpg
Yang Berhormat Datuk Pandak bin Ahmad;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Pusat Khidmat DUN Kota Iskandar No. 8-01, Jalan SILC 1/14 Kawasan Perindustrian SILC 79200 Iskandar Puteri, Johor @ No. 26, Jalan Jasa 7 Taman Mutiara Rini 81300 Skudai Johor;019-7744269 (PA - Tuan Haji Yusof);;;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-PANDAK-BIN-AHMAD.jpg
Yang Berhormat Tuan Haji Azizul bin Bachok;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Pusat Khidmat ADUN Tiram No. 20B, Jalan Ekoperniagaan 10 Taman Kota Masai 81700 Pasir Gudang Johor;07-2562208;07-2562208;aduntiram@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-AZIZUL-BIN-BACHOK.jpg
Yang Berhormat Tuan Liew Chin Tong;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;160, Jalan Layang 16 Taman Perling 81200 Johor Bahru Johor;;;;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-LIEW-CHIN-TONG-WEB-1.jpg
Yang Berhormat Datuk Haji Salahuddin bin Ayub;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 9 & 11, Aras 1 Jalan Persiaran Tanjung Susur 1, Taman Bukit Alif 81200 Johor Bahru Johor;;;saladinnaib@yahoo.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/Salahuddin-Ayub.jpg
Yang Berhormat Tuan Chen Kah Eng;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 10A, Jalan Maju, Taman Maju Jaya, 80400 Johor Bahru, Johor;014-7637943 (PA - Yeo Siew Li);;ckaheng@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-CHEN-KAH-ENG.jpg
Yang Berhormat Cik Amira Aisya binti Abd. Aziz;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Pusat Khidmat Puteri Wangsa 20, Jalan Eco Cascadia 6/2 81100 Johor Bahru Johor;014-9141481;;amiracomms@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-CIK-AMIRA-AISYA-BINTI-ABD-AZIZ.jpg
Yang Berhormat Cik Liow Cai Tung;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 20, Jalan Rosmerah 3/2 Taman Johor Jaya, 81100 Johor Bahru, Johor;;;n42.johorjaya@johor.gov.my;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/Liow-Cai-Tung.jpg
Yang Berhormat Puan Gan Peck Cheng;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;3, Jalan Temiang, Taman Makmur 83000 Batu Pahat Johor;017-7141900 (PA - Shazwan);;ganpeckcheng@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-PUAN-GAN-PECK-CHENG.jpg
Yang Berhormat Tuan Chiong Sen Sern;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 36, Jalan Dato' Tan Seng Leong 86000 Kluang Johor;011-11667888 (PA - Chiong Sen Haw);;chiongsensern@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-CHIONG-SEN-SERN.jpg
Yang Berhormat Tuan Ng Yak Howe;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Pejabat ADUN Bentayan, No 48-28, Jalan Sakeh Baru, Taman Sakeh Baru, 84000 Muar, Johor.;012-323 3703;;nyh73@hotmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/Ng-Yak-Howe.jpg
Yang Berhormat Tuan Ee Chin Li;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 27, Jalan Kemajuan Off Jalan Payamas, 84900 Tangkak, Johor.;;06-978 3252;;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/Ee-Chin-Li.jpg
Yang Berhormat Tuan Chew Chong Sin;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 29, Jalan Tasik 1 Pusat Perniagaan Tasik 86000 Kluang Johor;;;chewchongsin@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-CHEW-CHONG-SIN.jpg
Yang Berhormat Puan Marina binti Ibrahim;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;68A, Jalan Nakhoda 7 Taman Ungku Tun Aminah 81300 Skudai Johor;013-7887945;;;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-PUAN-MARINA-BINTI-IBRAHIM.jpg
Yang Berhormat Puan Ng Kor Sim;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 3, Batu 7, Tambang 85100 Segamat Johor;;;;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-PUAN-NG-KOR-SIM-WEB.jpg
Yang Berhormat Tuan Wong Bor Yang;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;PEJABAT ADUN SENAI 779, Jalan Teratai 36/9 Taman Indahpura 81000 Kulai Johor;016-7763627;;wongboryangoffice@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-WONG-BOR-YANG.jpg
Yang Berhormat Dato' Dr. Sahruddin bin Haji Jamal;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 13, Jalan Raja 10, Taman Desa Temiang, Jalan Salleh, 84000 Muar, Johor;;;n07.bukitkepong@johor.gov.my;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/Sahruddin-Jamal.jpg
Yang Berhormat Puan Hajah Alwiyah binti Talib;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Pusat Khidmat Wakil Rakyat DUN Endau Lot 1249, Jalan Endau, Kampung Sri Lalang, 86800 Mersing Johor;013-2886029 (PA - Muhamad Amerul bin Muhamad);;alwiyahtalib6161@gmail.com / n32.endau@johor.gov.my;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/Alwiyah-Talib.jpg
Yang Berhormat Tuan Haji Abdul Aziz bin Talib;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 22, Tingkat 1, Jalan Puncak 1 Pekan Parit Bakar 84000 Muar Johor;018-3791577 (PA - Badruddin bin Zubir);;ybazizn15@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-HAJI-ABDUL-AZIZ-BIN-TALIB-web.jpg
